,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
142,Entire home/apt,Brooklyn Heights,Brooklyn,40.6946839516129,-73.9944706451613,221.629032258065,6.26612903225806,14.6935483870968,1.06451612903226,59.4354838709677
143,Private room,Brooklyn Heights,Brooklyn,40.6952188888889,-73.9937192592593,111.074074074074,7.25925925925926,27.1481481481481,1.14814814814815,90.1851851851852
144,Entire home/apt,Brownsville,Brooklyn,40.6639057894737,-73.9134157894737,119.105263157895,3.15789473684211,32.6315789473684,1.26315789473684,118.789473684211
145,Private room,Brownsville,Brooklyn,40.6650219047619,-73.9145754761905,57.1666666666667,2.45238095238095,30.7619047619048,2.76190476190476,122.47619047619
146,Entire home/apt,Bushwick,Brooklyn,40.6967029761905,-73.920888735119,144.504464285714,6.20684523809524,30.2217261904762,1.63095238095238,102.924107142857
147,Private room,Bushwick,Brooklyn,40.6967453126826,-73.9202021624781,62.5242548217417,5.31911163062537,18.1601402688486,2.8614845119813,88.6119228521333
148,Shared room,Bushwick,Brooklyn,40.6964027941176,-73.9196488235294,37.3823529411765,15.9852941176471,12.9264705882353,5.45588235294118,207.382352941176
149,Entire home/apt,Canarsie,Brooklyn,40.6381684,-73.9004649333333,129.106666666667,2.32,50.3066666666667,1.45333333333333,226.706666666667
150,Private room,Canarsie,Brooklyn,40.6390969014085,-73.9018967605634,79.1408450704225,2.26760563380282,21.9859154929577,2.88732394366197,223.985915492958
151,Shared room,Canarsie,Brooklyn,40.63485,-73.92055,40,2,4,2,3
152,Entire home/apt,Carroll Gardens,Brooklyn,40.6808005,-73.9962947222222,199.788888888889,5.15,27.8388888888889,1.34444444444444,70.9388888888889
153,Private room,Carroll Gardens,Brooklyn,40.6799373469388,-73.9956853061225,89.3061224489796,2.53061224489796,18.0816326530612,1.46938775510204,67.9795918367347
154,Entire home/apt,Clinton Hill,Brooklyn,40.6876288888889,-73.9644842690059,226.295321637427,6.28070175438596,26.3099415204678,1.40058479532164,87.0116959064327
155,Private room,Clinton Hill,Brooklyn,40.6887864516129,-73.9643253456221,88.4055299539171,7.61751152073733,24.6866359447005,2.23041474654378,106.852534562212
156,Shared room,Clinton Hill,Brooklyn,40.6895744444444,-73.9631133333333,49,2.11111111111111,25.6666666666667,3.44444444444444,155.888888888889
